食べる (たべる) | Uống | Ngủ | Đi | Ăn
専務 (せんむ) | Trưởng phòng | Thư ký | Bảo vệ | Giám đốc quản lý
顧問 (こもん) | Người mới | Người lao động | Đối thủ | Cố vấn
相談役 (そうだんやく) | Kế toán | Bảo vệ | Công nhân | Người tư vấn/Cố vấn
派遣元 (はけんもと) | Công ty tiếp nhận | Nhà máy | Cửa hàng | Công ty phái cử
派遣先 (はけんさき) | Công ty môi giới | Trường học | Nhà riêng | Công ty tiếp nhận nhân viên
人材派遣 (じんざいはけん) | Cung ứng máy móc | Cung ứng vật liệu | Cung ứng thực phẩm | Cung ứng nhân lực
ヘッドハンティング (へっどはんてぃんぐ) | Tuyển dụng đại trà | Sa thải | Nghỉ hưu | Săn đầu người
稟議書 (りんぎしょ) | Hợp đồng lao động | Hóa đơn | Danh thiếp | Đơn trình ký phê duyệt
印鑑証明 (いんかんしょうめい) | Chứng minh thư | Hộ chiếu | Bằng lái xe | Giấy chứng nhận con dấu
登記 (とうき) | Mua bán | Hủy bỏ | Sửa chữa | Đăng ký kinh doanh/Pháp lý
定款 (ていかん) | Nội quy lao động | Luật nhà nước | Sách giáo khoa | Điều lệ công ty
委任状 (いにんじょう) | Giấy mời | Giấy phạt | Giấy khen | Giấy ủy quyền
契約解除 (けいやくかいじょ) | Ký hợp đồng | Gia hạn hợp đồng | Sửa hợp đồng | Huỷ bỏ hợp đồng
機密保持契約 (きみつほじけいやく) | Hợp đồng vận chuyển | Hợp đồng mua bán | Hợp đồng lao động | Hợp đồng bảo mật (NDA)
秘密保持 (ひみつほじ) | Công khai | Quảng cáo | Tuyên truyền | Giữ bí mật
情報漏洩 (じょうほうろうえい) | Bảo mật thông tin | Lưu trữ thông tin | Thu thập thông tin | Rò rỉ thông tin
特許 (とっきょ) | Bản quyền | Nhãn hiệu | Thương hiệu | Bằng sáng chế
商標 (しょうひょう) | Công thức | Sáng chế | Ý tưởng | Nhãn hiệu hàng hóa
著作権 (ちょさくけん) | Quyền sở hữu đất | Quyền bầu cử | Quyền tự do | Bản quyền tác giả
コンプライアンス (こんぷらいあんす) | Vi phạm | Lách luật | Phớt lờ | Tuân thủ quy định
ガバナンス (がばんなす) | Sản xuất | Tiếp thị | Bán hàng | Quản trị doanh nghiệp
コンサルタント (こんさるたんと) | Công nhân | Khách hàng | Đối thủ | Tư vấn viên
見積書 (みつもりしょ) | Hóa đơn | Phiếu thu | Phiếu chi | Bản báo giá
注文書 (ちゅうもんしょ) | Biên bản | Báo cáo | Thư từ | Đơn đặt hàng
請求書 (せいきゅうしょ) | Giấy cảm ơn | Thẻ giảm giá | Vé mời | Yêu cầu thanh toán
納品書 (のうひんしょ) | Đơn đặt hàng | Bảng giá | Hợp đồng | Phiếu giao hàng
領収書 (りょうしゅうしょ) | Thẻ tên | Giấy mời | Sơ yếu lý lịch | Biên lai/Hóa đơn
支払条件 (しはらいじょうけん) | Điều khoản vận chuyển | Điều khoản bảo hành | Điều khoản phạt | Điều khoản thanh toán
振込 (ふりこみ) | Trả tiền mặt | Nợ tiền | Quên trả | Chuyển khoản
口座番号 (こうざばんごう) | Số điện thoại | Số nhà | Số thẻ nhân viên | Số tài khoản
資金繰り (しきんぐり) | Quản lý nhân sự | Quản lý máy móc | Quản lý thời gian | Quản lý dòng tiền
予算編成 (よさんへんせい) | Chi tiêu tự do | Tiết kiệm | Đầu tư chứng khoán | Lập ngân sách
決算 (けっさん) | Khởi nghiệp | Đầu tư | Vay vốn | Quyết toán/Tổng kết tài chính
利益率 (りえきりつ) | Tỷ lệ lỗ | Tỷ lệ thuế | Tỷ lệ tăng ca | Tỷ suất lợi nhuận
売上高 (うりあげだか) | Chi phí | Lợi nhuận | Tiền lương | Doanh thu
経費削減 (けいひさくげん) | Tăng chi tiêu | Đầu tư thêm | Hoang phí | Cắt giảm kinh phí
赤字 (あかじ) | Lãi | Hòa vốn | Giàu có | Lỗ/Thâm hụt
黒字 (くろじ) | Lỗ | Phá sản | Nợ nần | Lãi/Thặng dư
負債 (ふさい) | Tài sản | Lợi nhuận | Vốn điều lệ | Khoản nợ
資本金 (しほんきん) | Tiền lãi | Tiền thuế | Tiền phạt | Vốn điều lệ
投資 (とうし) | Tiêu dùng | Tiết kiệm | Vứt bỏ | Đầu tư
株主 (かぶぬし) | Nhân viên | Khách hàng | Đối thủ | Cổ đông
取締役 (とりしまりやく) | Công nhân | Bảo vệ | Tạp vụ | Thành viên hội đồng quản trị
監査役 (かんさやく) | Giám đốc | Trưởng phòng | Nhân viên | Kiểm soát viên
経理 (けいり) | Nhân sự | Sản xuất | Kinh doanh | Kế toán
財務 (ざいむ) | Kỹ thuật | Marketing | Bảo trì | Tài chính
税務署 (ぜいむしょ) | Đồn cảnh sát | Bệnh viện | Trường học | Cục thuế
確定申告 (かくていしんこく) | Kê khai nhân khẩu | Đăng ký kết hôn | Đăng ký hộ khẩu | Kê khai thuế
源泉徴収 (げんせんちょうしゅう) | Tiền thưởng | Tiền hoa hồng | Tiền lương net | Thuế khấu trừ tại nguồn
消費税 (しょうひぜ) | Thuế thu nhập | Thuế nhà đất | Thuế thân | Thuế tiêu thụ (VAT)
所得税 (しょとくぜ) | Thuế nhập khẩu | Thuế xuất khẩu | Thuế môi trường | Thuế thu nhập
法人税 (ほうじんぜ) | Thuế cá nhân | Thuế xe cộ | Thuế tài sản | Thuế doanh nghiệp
資産 (しさん) | Nợ | Chi phí | Lỗ | Tài sản
負債 (ふさい) | Tiền mặt | Vàng | Nhà cửa | Khoản nợ
借入金 (かりいれきん) | Tiền cho vay | Tiền tiết kiệm | Tiền thưởng | Tiền vay
利息 (りそく) | Tiền gốc | Tiền phạt | Tiền thuế | Lãi suất
返済 (へんさい) | Vay thêm | Trốn nợ | Quên nợ | Hoàn trả nợ
スマート工場 (すまーとこうじょう) | Nhà kho cũ | Văn phòng | Trường học | Nhà máy thông minh
産業用ロボット (さんぎょうようろぼっと) | Đồ chơi trẻ em | Máy tính | Điện thoại | Robot công nghiệp
自動化ライン (じどうからいん) | Chuyền thủ công | Nhà ăn | Bãi đỗ xe | Chuyền tự động
人工知能 (じんこうちのう) | Trí thông minh con người | Bản năng | Thói quen | Trí tuệ nhân tạo
機械学習 (きかいがくしゅう) | Người học | Sách giáo khoa | Trường học | Máy học
データ分析 (でーたぶんせき) | Thu thập dữ liệu | Xóa dữ liệu | Nhập dữ liệu | Phân tích dữ liệu
予兆保全 (よちょうほぜん) | Bảo trì sau khi hỏng | Phá hủy máy | Mua máy mới | Bảo trì dự đoán
遠隔監視 (えんかくかんし) | Giám sát tại chỗ | Bỏ mặc | Không quan tâm | Giám sát từ xa
リアルタイム (りあるたいむ) | Quá khứ | Tương lai | Chậm trễ | Thời gian thực
ネットワーク (ねっとわーく) | Đơn lẻ | Tách biệt | Một mình | Mạng lưới
サーバー (さーばー) | Máy khách | Bàn làm việc | Ghế ngồi | Máy chủ
クラウド (くらうど) | Máy tính cá nhân | Đĩa mềm | Giấy tờ | Điện toán đám mây
セキュリティ (せきゅりてぃ) | Công khai | Nguy hiểm | Rò rỉ | Bảo mật
ファイアウォール (ふぁいあうぉーる) | Cửa ra vào | Cửa sổ | Mái nhà | Tường lửa
バックアップ (ばっくあっぷ) | Xóa bỏ | Di chuyển | Cập nhật | Sao lưu
デジタルトランスフォーメーション (でじたるとらんすふぉーめーしょん) | Thủ công hóa | Giữ nguyên | Hủy bỏ | Chuyển đổi số
ペーパーレス (ぺーぱーれす) | Dùng nhiều giấy | In ấn | Viết tay | Không dùng giấy
システム導入 (しすてむどうにゅう) | Hủy bỏ hệ thống | Sửa chữa hệ thống | Dừng hệ thống | Triển khai hệ thống
効率改善 (こうりつかいぜん) | Làm giảm hiệu suất | Giữ nguyên | Bỏ qua | Cải thiện hiệu suất
工数削減 (こうすうさくげん) | Tăng công đoạn | Giữ nguyên | Thêm người | Cắt giảm công đoạn/nhân lực
歩留まり向上 (ぶどまりこうじょう) | Tăng tỷ lệ lỗi | Giảm chất lượng | Tăng chi phí | Tăng tỷ lệ thành phẩm
原価低減 (げんかていげん) | Tăng giá thành | Giữ giá | Tăng chi phí | Giảm giá thành
品質向上 (ひんしつこうじょう) | Giảm chất lượng | Làm hỏng hàng | Bỏ qua lỗi | Nâng cao chất lượng
顧客要求 (こきゃくようきゅう) | Yêu cầu nhân viên | Yêu cầu sếp | Yêu cầu nhà nước | Yêu cầu khách hàng
試作 (しさく) | Sản xuất đại trà | Hủy bỏ | Bán hàng | Sản xuất thử
量産 (りょうさん) | Sản xuất thử | Ngừng sản xuất | Sản xuất thủ công | Sản xuất hàng loạt
量産移行 (りょうさんいこう) | Ngừng sản xuất | Quay lại sản xuất thử | Bán máy | Chuyển sang sản xuất hàng loạt
垂直立ち上げ (すいちょくたちあげ) | Khởi động chậm | Ngừng hoạt động | Thất bại | Khởi động nhanh (sản xuất)
不良流出 (ふりょうりゅうしゅつ) | Giữ hàng lỗi lại | Sửa hàng lỗi | Tiêu hủy hàng lỗi | Lọt hàng lỗi ra ngoài
市場クレーム (しじょうくれーむ) | Lời khen | Sự hài lòng | Sự im lặng | Khiếu nại từ thị trường
回収 (かいしゅう) | Bán ra | Tặng quà | Giữ lại | Thu hồi (Recall)
廃棄 (はいき) | Lưu trữ | Sử dụng | Làm mới | Tiêu hủy
再資源化 (さいしげんか) | Vứt bỏ | Chôn lấp | Đốt cháy | Tái chế tài nguyên
省エネ (しょうえね) | Lãng phí | Dùng nhiều điện | Hỏng máy | Tiết kiệm năng lượng
再生可能エネルギー (さいせいかのうえねるぎー) | Than đá | Dầu mỏ | Khí đốt | Năng lượng tái tạo
環境負荷 (かんきょうふか) | Bảo vệ môi trường | Làm sạch môi trường | Không ảnh hưởng | Tác động môi trường
脱炭素 (だつたんそ) | Thêm cacbon | Đốt than | Ô nhiễm | Khử cacbon
サステナビリティ (さすてなびりてぃ) | Tính tạm thời | Sự phá hủy | Sự kết thúc | Tính bền vững
トレーサビリティ (とれーさびりてぃ) | Sự che giấu | Sự nhầm lẫn | Sự thất lạc | Khả năng truy xuất
サプライチェーン (さぷらいちぇーん) | Một cửa hàng | Khách hàng lẻ | Đối thủ | Chuỗi cung ứng
部品調達 (ぶひんちょうたつ) | Bán linh kiện | Vứt linh kiện | Hỏng linh kiện | Cung ứng linh kiện
在庫最適化 (ざいこさいてきか) | Tăng tồn kho | Hết hàng | Hàng lỗi | Tối ưu hóa tồn kho
物流 (ぶつりゅう) | Sản xuất | Thiết kế | Marketing | Logistics/Vận chuyển
拠点 (きょてん) | Điểm dừng chân | Khách sạn | Nhà riêng | Căn cứ/Chi nhánh
物流センター (ぶつりゅうせんたー) | Nhà ăn | Phòng họp | Sân chơi | Trung tâm logistics
リードタイム短縮 (りーどたいむたんしゅく) | Kéo dài thời gian | Trì hoãn | Ngừng lại | Rút ngắn thời gian thực hiện
需要予測 (じゅようよそく) | Bỏ qua nhu cầu | Tạo ra nhu cầu | Hủy bỏ nhu cầu | Dự báo nhu cầu
発注 (はっちゅう) | Nhận hàng | Giao hàng | Trả hàng | Đặt hàng
受注 (じゅちゅう) | Giao hàng | Hủy đơn | Mua hàng | Nhận đơn hàng
外注管理 (がいちゅうかんり) | Tự làm | Không quản lý | Bỏ mặc | Quản lý thuê ngoài
シーケンス制御 (しーけんすせいぎょ) | Điều khiển ngẫu nhiên | Ngừng máy | Chỉnh sửa tay | Điều khiển tuần tự
入力信号 (にゅうりょくしんごう) | Tín hiệu đầu ra | Tiếng ồn | Mất điện | Tín hiệu đầu vào
出力信号 (しゅつりょくしんごう) | Tín hiệu đầu vào | Nguồn điện | Cáp mạng | Tín hiệu đầu ra
接点 (せってん) | Khoảng cách | Vỏ máy | Ốc vít | Tiếp điểm
常時開 (じょうじかい) | Thường đóng | Đang hỏng | Đang khóa | Thường mở (NO)
常時閉 (じょうじへい) | Thường mở | Đang chạy | Đang mở | Thường đóng (NC)
電磁弁 (でんじべん) | Công tắc điện | Động cơ | Bơm nước | Van điện từ
光電センサ (こうでんせんさ) | Cảm biến nhiệt | Cảm biến áp suất | Cảm biến rung | Cảm biến quang
近接センサ (きんせつせんさ) | Cảm biến âm thanh | Cảm biến màu | Cảm biến ẩm | Cảm biến tiệm cận
リミットスイッチ (りみっとすいっち) | Công tắc nguồn | Cầu chì | Biến áp | Công tắc hành trình
非常停止ボタン (ひじょうていしぼたん) | Nút khởi động | Nút reset | Nút tạm dừng | Nút dừng khẩn cấp
制御盤 (せいぎょばん) | Bàn làm việc | Tủ quần áo | Giá sách | Tủ điều khiển
端子台 (たんしだい) | Bảng mạch | Ổ cắm | Phích cắm | Cầu đấu dây
配線ダクト (はいせんだくと) | Ống nước | Ống thông gió | Ống xả | Ống đi dây điện
絶縁抵抗 (ぜつえんていこう) | Điện trở dòng điện | Công suất | Tần số | Điện trở cách điện
短絡保護 (たんらくほご) | Gây chập điện | Truyền điện | Ngắt nguồn | Bảo vệ ngắn mạch
過電流 (かでんりゅう) | Đủ dòng | Thiếu dòng | Dòng xoay chiều | Quá dòng
接地 (せっち) | Cách điện | Truyền tin | Phát sóng | Tiếp địa/Nối đất
インバータ (いんばーた) | Máy biến thế | Bộ lưu điện | Máy phát điện | Biến tần
サーボモータ (さーぼもーた) | Động cơ bước | Động cơ xăng | Động cơ hơi nước | Động cơ servo
ステッピングモータ (すてっぴんぐもーた) | Động cơ phản lực | Động cơ dầu | Động cơ servo | Động cơ bước
減速機 (げんそくき) | Bộ tăng tốc | Thắng tay | Bàn đạp | Hộp giảm tốc
軸芯 (じくしん) | Vỏ trục | Bánh xe | Đai ốc | Tâm trục
偏芯 (へんしん) | Đồng tâm | Thẳng hàng | Cân bằng | Lệch tâm
芯出し (しんだし) | Làm lệch | Phá hủy | Uốn cong | Căn tâm
遊び (あそび) | Chặt chẽ | Cố định | Hàn chết | Độ rơ/Độ hở
ガタつき (がたつき) | Chắc chắn | Mới tinh | Sáng bóng | Bị rơ/Lỏng lẻo
潤滑不全 (じゅんかつふぜん) | Thừa dầu | Sạch sẽ | Hoạt động tốt | Thiếu bôi trơn
異音 (いおん) | Âm thanh chuẩn | Yên lặng | Nhạc nền | Tiếng động lạ
振動解析 (しんどうかいせき) | Đo nhiệt độ | Kiểm tra màu | Cân trọng lượng | Phân tích rung động
熱膨張 (ねつぼうちょう) | Co lại | Đông cứng | Bay hơi | Giãn nở nhiệt
歪み (ひずみ) | Thẳng | Phẳng | Tròn | Biến dạng/Cong vênh
亀裂 (きれつ) | Vết xước | Vết bẩn | Vết sơn | Vết nứt
バリ (ばり) | Nhẵn nhụi | Trơn bóng | Phẳng lỳ | Bavia/Phần thừa
面取り (めんとり) | Đắp thêm | Khoan lỗ | Hàn nối | Vát cạnh
ねじ切り (ねじきり) | Đóng đinh | Dán keo | Sơn phủ | Ta rô/Cắt ren
穴あけ (あなあけ) | Lấp lỗ | Mài bóng | Uốn cong | Khoan lỗ
研削 (けんさく) | Đúc | Rèn | Hàn | Mài sắc/Mài phẳng
切削油 (せっさくゆ) | Nước uống | Xăng | Cồn | Dầu cắt gọt
切粉 (きりこ) | Linh kiện | Thành phẩm | Nguyên liệu | Phoi/Mạt sắt
洗浄 (せんじょう) | Làm bẩn | Làm hỏng | Sơn màu | Tẩy rửa/Làm sạch
防錆処理 (ぼうせいしょり) | Làm rỉ | Nung nóng | Làm nguội | Xử lý chống rỉ
メッキ (めっき) | Sơn | Dán | Đục | Mạ kim loại
焼き入れ (やきいれ) | Làm lạnh | Cắt bỏ | Mài bóng | Tôi nhiệt
溶融 (ようゆう) | Đông đặc | Bay hơi | Thăng hoa | Nóng chảy
粘着 (ねんちゃく) | Bong tróc | Khô ráo | Trơn trượt | Dính/Kết dính
剥離 (はくり) | Dán dính | Hàn chặt | Nối liền | Bong tróc/Bóc tách
密封 (みっぷう) | Mở ra | Để hở | Rò rỉ | Bịt kín/Niêm phong
気密性 (きみつせい) | Độ hở | Độ bền | Độ dẻo | Độ kín khí
水密性 (すいみつせい) | Thấm nước | Rò rỉ | Bay hơi | Độ kín nước
流体 (りゅうたい) | Chất rắn | Kim loại | Gỗ | Chất lưu (lỏng/khí)
粘度 (ねんど) | Độ cứng | Độ bóng | Độ dài | Độ nhớt
流量計 (りゅうりょうけい) | Nhiệt kế | Thước dây | Cân | Đồng hồ đo lưu lượng
圧力計 (あつりょくけい) | Đồng hồ treo tường | La bàn | Máy ảnh | Đồng hồ đo áp suất
油圧シリンダ (ゆあつしりんだ) | Xi lanh khí nén | Pittông động cơ | Van xả | Xi lanh thủy lực
電磁弁 (でんじべん) | Công tắc | Đèn báo | Chuông | Van điện từ
管継手 (かんつぎて) | Dây điện | Bánh răng | Ốc vít | Đầu nối ống
配管 (はいかん) | Đi dây điện | Xây tường | Lát nền | Đi đường ống
漏れ (もれ) | Kín | Đầy | Thiếu | Rò rỉ
詰まり (つもり) | Thông suốt | Chảy mạnh | Bay hơi | Tắc nghẽn
摩耗 (まもう) | Tăng trưởng | Làm mới | Giữ nguyên | Hao mòn
消耗 (しょうもう) | Tích lũy | Dư thừa | Sản xuất | Tiêu hao
予備品 (よびひん) | Hàng chính | Phế liệu | Đồ cũ | Phụ tùng dự phòng
互換性 (ごかんせい) | Tính riêng biệt | Sự xung đột | Sự hỏng hóc | Tính tương thích
標準仕様 (ひょうじゅんしよう) | Thông số đặc biệt | Sai số | Bản nháp | Thông số tiêu chuẩn
特注 (とくちゅう) | Hàng đại trà | Hàng cũ | Hàng tặng | Đặt làm đặc biệt
試作品 (しさくひん) | Thành phẩm | Hàng bán | Hàng trả | Sản phẩm dùng thử
量産型 (りょうさんがた) | Kiểu thủ công | Kiểu duy nhất | Kiểu hỏng | Kiểu sản xuất hàng loạt
型番 (かたばん) | Giá cả | Ngày tháng | Tên sếp | Mã hiệu/Model
品番 (ひんばん) | Mã khách hàng | Mã nhân viên | Mã bưu điện | Mã sản phẩm
ロット管理 (ろっとかんり) | Quản lý lẻ | Không quản lý | Bỏ mặc | Quản lý theo lô
履歴 (りれき) | Tương lai | Dự đoán | Hiện tại | Lịch sử/Lưu vết
変更通知 (へんこうつうち) | Lệnh giữ nguyên | Thư mời | Báo cáo tài chính | Thông báo thay đổi
廃止 (はいし) | Duy trì | Bắt đầu | Phát triển | Bãi bỏ/Hủy bỏ
暫定 (ざんてい) | Vĩnh viễn | Mãi mãi | Cố định | Tạm thời
恒久 (こうきゅう) | Tạm thời | Ngắn hạn | Một lát | Lâu dài/Vĩnh viễn
対策 (たいさく) | Vấn đề | Rắc rối | Câu hỏi | Đối sách
処置 (しょち) | Bỏ qua | Quan sát | Chờ đợi | Xử lý
復旧 (ふっきゅう) | Làm hỏng | Vứt bỏ | Mua mới | Khôi phục/Sửa lại
稼働率 (かどうりつ) | Tỷ lệ nghỉ | Tỷ lệ lỗi | Tỷ lệ thuế | Tỷ lệ hoạt động
負荷 (ふか) | Nhẹ nhàng | Trống rỗng | Tự do | Tải trọng/Áp lực
余裕 (よゆう) | Thiếu hụt | Vừa đủ | Khẩn cấp | Phần dư/Dự phòng
見積 (みつもり) | Thanh toán | Nhận tiền | Nợ | Báo giá/Ước tính
発注 (はっちゅう) | Giao hàng | Trả hàng | Nhận hàng | Đặt hàng
受注 (じゅちゅう) | Mua hàng | Hủy đơn | Bán hàng | Nhận đơn hàng
外注 (がいちゅう) | Tự làm | Lưu kho | Tiêu hủy | Thuê ngoài
検収 (けんしゅう) | Sản xuất | Thiết kế | Marketing | Nghiệm thu
棚卸 (たなおろし) | Quét dọn | Sơn sửa | Đi làm | Kiểm kê kho
在庫 (ざいこ) | Hàng mới | Hàng hỏng | Hàng giả | Tồn kho
欠品 (けっぴん) | Đầy kho | Hàng mới | Hàng mẫu | Thiếu hàng
出荷 (しゅっか) | Nhập hàng | Trả hàng | Lưu kho | Xuất hàng
納品 (のうひん) | Nhận hàng | Đặt hàng | Hủy hàng | Giao hàng
返品 (へんぴん) | Mua hàng | Thuê hàng | Tặng hàng | Trả hàng
物流 (ぶつりゅう) | Sản xuất | Kế toán | Nhân sự | Logistics/Vận chuyển
梱包 (こんぽう) | Mở thùng | Cắt gọt | Hàn nối | Đóng gói
積載 (せきさい) | Dỡ hàng | Vứt hàng | Ăn hàng | Chất hàng/Xếp hàng
輸送 (ゆそう) | Đứng yên | Sản xuất | Tiêu dùng | Vận tải
貨物 (かもつ) | Hành khách | Tiền mặt | Giấy tờ | Hàng hóa
通関 (つうかん) | Xuất bến | Nhập cảnh | Đi chơi | Thông quan
報連相 (ほうれんそう) | Ăn uống | Nghỉ ngơi | Đi chơi | Báo cáo - Liên lạc - Thảo luận
改善 (かいぜん) | Giữ nguyên | Làm tệ | Phá hủy | Cải tiến
三現主義 (さんげんしゅぎ) | Lý thuyết | Đoán mò | Nghe kể | Nguyên tắc 3 thực (Hiện trường/vật/thực)
根回し (ねまわし) | Cãi vã | Công khai | Phản đối | Thỏa thuận ngầm/Chuẩn bị trước
朝礼 (ちょうれい) | Tiệc tối | Nghỉ trưa | Đi về | Họp đầu giờ sáng
終礼 (しゅうれい) | Họp sáng | Nghỉ lễ | Đi làm | Họp cuối giờ
社訓 (しゃくん) | Lời bài hát | Tin tức | Quảng cáo | Huấn thị công ty
理念 (りねん) | Thói quen | Sở thích | Ý kiến | Triết lý
方針 (ほうしん) | Kết quả | Sai lầm | Quá khứ | Phương châm
ノルマ (のるま) | Tự do | Nghỉ ngơi | Vui vẻ | Chỉ tiêu/Định mức
貢献 (こうけん) | Phá hoại | Lười biếng | Trốn tránh | Cống hiến
責任感 (せきにんかん) | Sự cẩu thả | Sự vô tâm | Sự sợ hãi | Tinh thần trách nhiệm
積極的 (せっきょくてき) | Tiêu cực | Lười biếng | Chậm chạp | Tích cực
協調性 (きょうちょうせい) | Tính cá nhân | Sự ích kỷ | Sự xung đột | Tính hợp tác
柔軟性 (じゅうなんせい) | Cứng nhắc | Bảo thủ | Khó khăn | Tính linh hoạt
効率的 (こうりつてき) | Lãng phí | Vô ích | Chậm trễ | Tính hiệu quả
論理的 (ろんりてき) | Cảm tính | Vô lý | Nhầm lẫn | Tính logic
分析的 (ぶんせきてき) | Đoán mò | Ngẫu nhiên | Hời hợt | Tính phân tích
客観的 (きゃっかんてき) | Chủ quan | Cá nhân | Phiến diện | Tính khách quan
主観的 (しゅかんてき) | Khách quan | Công bằng | Thẳng thắn | Tính chủ quan
生産性 (せいさんせい) | Thất thoát | Lãng phí | Đình trệ | Năng suất
付加価値 (ふかかち) | Giá trị giảm | Chi phí | Lỗ | Giá trị gia tăng
競争力 (きょうそうりょく) | Sự yếu kém | Sự bảo hộ | Sự độc quyền | Năng lực cạnh tranh
差別化 (さべつか) | Giống nhau | Bắt chước | Hòa lẫn | Tạo sự khác biệt
優位性 (ゆういせい) | Yếu thế | Thất bại | Bình thường | Tính ưu việt/Lợi thế
課題 (かだい) | Kết quả | Thành công | Phần thưởng | Thách thức/Vấn đề
解決策 (かいけつさく) | Câu hỏi | Rắc rối | Nguyên nhân | Giải pháp
意思決定 (いしけってい) | Do dự | Chờ đợi | Bỏ qua | Ra quyết định
実行力 (じっこうりょく) | Chỉ nói suông | Lười biếng | Từ bỏ | Khả năng thực thi
継続力 (けいぞくりょく) | Ngắt quãng | Bỏ cuộc | Tạm thời | Khả năng duy trì
忍耐 (にんたい) | Nóng nảy | Bỏ cuộc | Tức giận | Nhẫn nại
挑戦 (ちょうせん) | An phận | Sợ hãi | Trốn tránh | Thử thách
創造性 (そうぞうせい) | Sao chép | Cũ kỹ | Lạc hậu | Tính sáng tạo
革新 (かくしん) | Bảo thủ | Giữ nguyên | Lùi lại | Cách tân/Đổi mới
デジタル化 (でじたるか) | Thủ công | Viết tay | Giấy tờ | Số hóa
ネットワーク (ねっとわーく) | Đơn lẻ | Tách biệt | Cô lập | Mạng lưới
データベース (でーたべーす) | Sổ tay | Giấy nháp | Thư từ | Cơ sở dữ liệu
情報共有 (じょうほうきょうゆう) | Giấu tin | Xóa tin | Nhầm lẫn | Chia sẻ thông tin
情報漏洩 (じょうほうろうえい) | Bảo mật | Lưu trữ | Thu nhận | Rò rỉ thông tin
サイバー攻撃 (さいばーこうげき) | Bảo vệ | Hợp tác | Kết nối | Tấn công mạng
ウイルス感染 (ういるすかんせん) | Diệt khuẩn | Khỏe mạnh | An toàn | Nhiễm virus
パスワード (ぱすわーど) | Tên đăng nhập | Email | Địa chỉ | Mật khẩu
ログイン (ろぐいん) | Đăng xuất | Xóa tài khoản | Đăng ký | Đăng nhập
バックアップ (ばっくあっぷ) | Xóa bỏ | Di chuyển | Cập nhật | Sao lưu
クラウド (くらうど) | Máy tính bàn | Đĩa mềm | Giấy | Điện toán đám mây
ＡＩ (えーあい) | Con người | Động vật | Cây cối | Trí tuệ nhân tạo
ＩｏＴ (あいおーてぃー) | Ngoại tuyến | Thủ công | Cô lập | Internet vạn vật
自動運転 (じどううんてん) | Lái bằng tay | Đi bộ | Đi xe đạp | Lái xe tự động
仮想現実 (かそうげんじつ) | Đời thực | Quá khứ | Giấc mơ | Thực tế ảo
暗号化 (あんごうか) | Giải mã | Công khai | Tuyên truyền | Mã hóa
リスク管理 (りすくかんり) | Quản lý lợi nhuận | Quản lý nhân sự | Quản lý thời gian | Quản lý rủi ro
危機管理 (ききかんり) | Vui chơi | Giải trí | Nghỉ ngơi | Quản lý khủng hoảng
想定外 (そうていがい) | Trong dự tính | Kế hoạch | Bình thường | Ngoài dự tính
緊急事態 (きんきゅうじたい) | Bình thường | Yên bình | An toàn | Tình trạng khẩn cấp
避難指示 (ひなんしじ) | Lệnh tập hợp | Lệnh làm việc | Lệnh đi ngủ | Chỉ thị sơ tán
火災報知器 (かさいほうちき) | Chuông cửa | Điện thoại | Đồng hồ | Chuông báo cháy
消火活動 (しょうかかつどう) | Gây cháy | Đốt lửa | Thổi gió | Hoạt động chữa cháy
応急手当 (おうきゅうてあて) | Phẫu thuật | Khám bệnh | Nhập viện | Sơ cứu
負傷者 (ふしょうしゃ) | Người khỏe | Người giàu | Người nổi tiếng | Người bị thương
無事 (ぶじ) | Nguy hiểm | Tai nạn | Chết chóc | Bình an/Vô sự
損害 (そんがい) | Lợi ích | Thành công | May mắn | Thiệt hại
賠償 (ばいしょう) | Nhận tiền | Thưởng tiền | Tặng quà | Bồi thường
保険加入 (ほけんかにゅう) | Hủy bảo hiểm | Bán bảo hiểm | Không có bảo hiểm | Tham gia bảo hiểm
免責 (めんせき) | Chịu trách nhiệm | Bị phạt | Bị bắt | Miễn trách nhiệm
守秘義務 (しゅひぎむ) | Quyền công khai | Quảng cáo | Tuyên truyền | Nghĩa vụ bảo mật
倫理規定 (りんりきてい) | Quy định ăn uống | Luật giao thông | Nội quy kho | Quy định đạo đức
不正行為 (ふせいこうい) | Hành vi tốt | Khen thưởng | Giúp đỡ | Hành vi bất chính
違反 (いはん) | Tuân thủ | Thực hiện | Nghe theo | Vi phạm
罰則 (ばっそく) | Quy tắc khen thưởng | Tặng quà | Khuyến khích | Quy tắc xử phạt
解雇 (かいこ) | Tuyển dụng | Thăng chức | Tăng lương | Sa thải
警告 (けいこく) | Khen ngợi | Khuyến khích | Mời gọi | Cảnh cáo
注意勧告 (ちゅういかんこく) | Bỏ qua | Cho phép | Khen thưởng | Khuyên cáo/Nhắc nhở
始末書 (しまつしょ) | Bằng khen | Hợp đồng | Hóa đơn | Bản kiểm điểm
反省 (はんせい) | Kiêu ngạo | Tự tin | Vui vẻ | Kiểm điểm/Xem lại mình
信頼回復 (しんらいかいふく) | Làm mất lòng tin | Nghi ngờ | Ghét bỏ | Khôi phục tin cậy
誠実 (せいじつ) | Gian dối | Lười biếng | Độc ác | Thành thật
迅速 (じんそく) | Chậm chạp | Trì trệ | Lười biếng | Nhanh chóng
